Timestamp,Event,Screenshot
2026-06-03 14:42:03.655943,Sleep Detected,sleep_logs/sleep_20260603_144203.jpg
2026-06-03 14:42:16.610462,Sleep Detected,sleep_logs/sleep_20260603_144216.jpg
2026-06-03 14:44:11.544243,Sleep Detected,sleep_logs/sleep_20260603_144411.jpg
